language,page_title,domain,kingdom,phylum,class,order,suborder,superfamily,family,genus,species,Wikidata,Wikispecies,ADW,BOLD,CoL,GBIF,iNaturalist,IRMNG,ITIS,IUCN,NCBI,Open Tree of Life,RD,Species+
en,Marcia (vestal),,,,,,,,,,,,,,,,,,,,,,,,
en,Postumia (vestal),,,,,,,,,,,,,,,,,,,,,,,,
en,Rhea Silvia,,,,,,,,,,,,,,,,,,,,,,,,
en,Tarpeia,,,,,,,,,,,,,,,,,,,,,,,,
en,Trial of the Vestal Virgins (114–113 BC),,,,,,,,,,,,,,,,,,,,,,,,
en,Tuccia,,,,,,,,,,,,,,,,,,,,,,,,
en,Veiled Vestal,,,,,,,,,,,,,,,,,,,,,,,,
en,Veneneia (priestess),,,,,,,,,,,,,,,,,,,,,,,,
en,Vestal Virgin Tuccia (Corradini sculpture),,,,,,,,,,,,,,,,,,,,,,,,
en,List of donkey breeds,,,,,,,,,,,,,,,,,,,,,,,,
en,Abyssinian donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,American Mammoth Jackstock,,,,,,,,,,,,,,,,,,,,,,,,
en,Amiatina,,,,,,,,,,,,,,,,,,,,,,,,
en,Andalusian donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Asinara donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Asno de las Encartaciones,,,,,,,,,,,,,,,,,,,,,,,,
en,Australian donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Balearic donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Balkan donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Baudet du Poitou,,,,,,,,,,,,,,,,,,,,,,,,
en,Bourbonnais Donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Burro da Ilha Graciosa,,,,,,,,,,,,,,,,,,,,,,,,
en,Burro de Miranda,,,,,,,,,,,,,,,,,,,,,,,,
en,Castel Morrone donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Catalan donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Corsican donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Cotentin Donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Cyprus donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Fariñeiro,,,,,,,,,,,,,,,,,,,,,,,,
en,Grand Noir du Berry,,,,,,,,,,,,,,,,,,,,,,,,
en,Grigio Siciliano,,,,,,,,,,,,,,,,,,,,,,,,
en,Irish donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Kiang,,,,,,,,,,,,,,,,,,,,,,,,
en,Majorera donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Maltese donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Martina Franca donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Norman donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,North American donkeys,,,,,,,,,,,,,,,,,,,,,,,,
en,Pantesco,,,,,,,,,,,,,,,,,,,,,,,,
en,Provence Donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Pyrenean donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Ragusano donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Romagnolo donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Sardinian donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Thüringer Waldesel,,,,,,,,,,,,,,,,,,,,,,,,
en,Viterbese,,,,,,,,,,,,,,,,,,,,,,,,
en,Zamorano-Leonés,,,,,,,,,,,,,,,,,,,,,,,,
en,Cyprus donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,List of French donkey breeds,,,,,,,,,,,,,,,,,,,,,,,,
en,Baudet du Poitou,,,,,,,,,,,,,,,,,,,,,,,,
en,Bourbonnais Donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Corsican donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Cotentin Donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Grand Noir du Berry,,,,,,,,,,,,,,,,,,,,,,,,
en,Norman donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Provence Donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Pyrenean donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,List of Italian donkey breeds,,,,,,,,,,,,,,,,,,,,,,,,
en,Amiatina,,,,,,,,,,,,,,,,,,,,,,,,
en,Asinara donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Castel Morrone donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Grigio Siciliano,,,,,,,,,,,,,,,,,,,,,,,,
en,Martina Franca donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Pantesco,,,,,,,,,,,,,,,,,,,,,,,,
en,Ragusano donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Romagnolo donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Sardinian donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Viterbese,,,,,,,,,,,,,,,,,,,,,,,,
en,Ponui donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,List of Iberian donkey breeds,,,,,,,,,,,,,,,,,,,,,,,,
en,Burro da Ilha Graciosa,,,,,,,,,,,,,,,,,,,,,,,,
en,Burro de Miranda,,,,,,,,,,,,,,,,,,,,,,,,
en,List of Iberian donkey breeds,,,,,,,,,,,,,,,,,,,,,,,,
en,Andalusian donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Asno de las Encartaciones,,,,,,,,,,,,,,,,,,,,,,,,
en,Balearic donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Fariñeiro,,,,,,,,,,,,,,,,,,,,,,,,
en,Majorera donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Zamorano-Leonés,,,,,,,,,,,,,,,,,,,,,,,,
en,American Mammoth Jackstock,,,,,,,,,,,,,,,,,,,,,,,,
en,North American donkeys,,,,,,,,,,,,,,,,,,,,,,,,
en,Feral donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Asinara donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Australian donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Burro,,,,,,,,,,,,,,,,,,,,,,,,
en,Feral donkeys in Australia,,,,,,,,,,,,,,,,,,,,,,,,
en,Ponui donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Adoration of the Magi (Gentile da Fabriano),,,,,,,,,,,,,,,,,,,,,,,,
en,Adoration of the Shepherds (Le Nain),,,,,,,,,,,,,,,,,,,,,,,,
en,Alexamenos graffito,,,,,,,,,,,,,,,,,,,,,,,,
en,Allegory of Fortune,,,,,,,,,,,,,,,,,,,,,,,,
en,Ándale Bernardo,,,,,,,,,,,,,,,,,,,,,,,,
en,Apparatus and Hand,,,,,,,,,,,,,,,,,,,,,,,,
en,Balaam and the Ass,,,,,,,,,,,,,,,,,,,,,,,,
en,Bremen Town Musicians (sculpture),,,,,,,,,,,,,,,,,,,,,,,,
en,The Census at Bethlehem,,,,,,,,,,,,,,,,,,,,,,,,
en,Christ's Entry into Jerusalem (Haydon),,,,,,,,,,,,,,,,,,,,,,,,
en,Democratic Donkey (statue),,,,,,,,,,,,,,,,,,,,,,,,
en,The Discovery of Honey by Bacchus,,,,,,,,,,,,,,,,,,,,,,,,
en,Donkey Rider,,,,,,,,,,,,,,,,,,,,,,,,
en,"A Donkey, 3 Rocks, and a Bird.",,,,,,,,,,,,,,,,,,,,,,,,
en,Entry of Christ into Jerusalem (van Dyck),,,,,,,,,,,,,,,,,,,,,,,,
en,Entry of Christ into Jerusalem (Master of Taüll),,,,,,,,,,,,,,,,,,,,,,,,
en,The Eruption of Vesuvius,,,,,,,,,,,,,,,,,,,,,,,,
en,The Feast of the Gods,,,,,,,,,,,,,,,,,,,,,,,,
en,The Flight into Egypt (Elsheimer),,,,,,,,,,,,,,,,,,,,,,,,
en,The Flight into Egypt (Lorrain),,,,,,,,,,,,,,,,,,,,,,,,
en,The Flight into Egypt (Poussin),,,,,,,,,,,,,,,,,,,,,,,,
en,Landscape with the Flight into Egypt (Carracci),,,,,,,,,,,,,,,,,,,,,,,,
en,"Flight into Egypt (Henry O. Tanner painting, 1899)",,,,,,,,,,,,,,,,,,,,,,,,
en,The Flight into Egypt (El Greco),,,,,,,,,,,,,,,,,,,,,,,,
en,The Flight into Egypt (Murillo),,,,,,,,,,,,,,,,,,,,,,,,
en,The Flight into Egypt (Rembrandt),,,,,,,,,,,,,,,,,,,,,,,,
en,Hampstead Heath with a Rainbow,,,,,,,,,,,,,,,,,,,,,,,,
en,Landscape with Animals,,,,,,,,,,,,,,,,,,,,,,,,
en,Landscape with the Flight into Egypt (Bruegel),,,,,,,,,,,,,,,,,,,,,,,,
en,Landscape with the Flight into Egypt (Patinir),,,,,,,,,,,,,,,,,,,,,,,,
en,Moonlight (painting),,,,,,,,,,,,,,,,,,,,,,,,
en,Nativity (Simone dei Crocifissi),,,,,,,,,,,,,,,,,,,,,,,,
en,The Night of Enitharmon's Joy,,,,,,,,,,,,,,,,,,,,,,,,
en,Rest on the Flight into Egypt (Annibale Carracci),,,,,,,,,,,,,,,,,,,,,,,,
en,"Rest on the Flight into Egypt (David, Lisbon)",,,,,,,,,,,,,,,,,,,,,,,,
en,"Rest on the Flight into Egypt (David, Washington)",,,,,,,,,,,,,,,,,,,,,,,,
en,Riding Donkeys on the Beach,,,,,,,,,,,,,,,,,,,,,,,,
en,Saint Joseph Seeks a Lodging at Bethlehem,,,,,,,,,,,,,,,,,,,,,,,,
en,Salud (sculpture),,,,,,,,,,,,,,,,,,,,,,,,
en,Scene from A Midsummer Night's Dream,,,,,,,,,,,,,,,,,,,,,,,,
en,Seven Sorrows Polyptych,,,,,,,,,,,,,,,,,,,,,,,,
en,Titania and Bottom,,,,,,,,,,,,,,,,,,,,,,,,
en,Witches' Flight,,,,,,,,,,,,,,,,,,,,,,,,
en,An ass eating thistles,,,,,,,,,,,,,,,,,,,,,,,,
en,The Ass and his Masters,,,,,,,,,,,,,,,,,,,,,,,,
en,The Ass and the Pig,,,,,,,,,,,,,,,,,,,,,,,,
en,The Ass Carrying an Image,,,,,,,,,,,,,,,,,,,,,,,,
en,The Ass in the Lion's Skin,,,,,,,,,,,,,,,,,,,,,,,,
en,Au hasard Balthazar,,,,,,,,,,,,,,,,,,,,,,,,
en,Baba Looey,,,,,,,,,,,,,,,,,,,,,,,,
en,Benjamin (Animal Farm),,,,,,,,,,,,,,,,,,,,,,,,
en,Nick Bottom,,,,,,,,,,,,,,,,,,,,,,,,
en,Brag (folklore),,,,,,,,,,,,,,,,,,,,,,,,
en,Brighty of the Grand Canyon,,,,,,,,,,,,,,,,,,,,,,,,
en,Buridan's ass,,,,,,,,,,,,,,,,,,,,,,,,
en,Candlewick (character),,,,,,,,,,,,,,,,,,,,,,,,
en,Contrary Mary,,,,,,,,,,,,,,,,,,,,,,,,
en,Dominick the Donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,The Donkey (fairy tale),,,,,,,,,,,,,,,,,,,,,,,,
en,Donkey (Shrek),,,,,,,,,,,,,,,,,,,,,,,,
en,Donkey Cabbages,,,,,,,,,,,,,,,,,,,,,,,,
en,Donkey Hodie,,,,,,,,,,,,,,,,,,,,,,,,
en,Donkey Hodie (TV series),,,,,,,,,,,,,,,,,,,,,,,,
en,The Donkey's Head,,,,,,,,,,,,,,,,,,,,,,,,
en,The Donkey's Head (Turkish folktale),,,,,,,,,,,,,,,,,,,,,,,,
en,Eeyore,,,,,,,,,,,,,,,,,,,,,,,,
en,The Entry,,,,,,,,,,,,,,,,,,,,,,,,
en,EO (film),,,,,,,,,,,,,,,,,,,,,,,,
en,The Golden Ass,,,,,,,,,,,,,,,,,,,,,,,,
en,Holly Dolly,,,,,,,,,,,,,,,,,,,,,,,,
en,The Horse and the Donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Hunky and Spunky,,,,,,,,,,,,,,,,,,,,,,,,
en,J. Jonah Jameson,,,,,,,,,,,,,,,,,,,,,,,,
en,Jenny the Burro,,,,,,,,,,,,,,,,,,,,,,,,
en,Der Kuckuck und der Esel,,,,,,,,,,,,,,,,,,,,,,,,
en,The Lion Grown Old,,,,,,,,,,,,,,,,,,,,,,,,
en,Maud (donkey),,,,,,,,,,,,,,,,,,,,,,,,
en,Maud the Mule,,,,,,,,,,,,,,,,,,,,,,,,
en,"The miller, his son and the donkey",,,,,,,,,,,,,,,,,,,,,,,,
en,"Nestor, the Long-Eared Christmas Donkey",,,,,,,,,,,,,,,,,,,,,,,,
en,Nicholas Nye,,,,,,,,,,,,,,,,,,,,,,,,
en,The Old Man and the Ass,,,,,,,,,,,,,,,,,,,,,,,,
en,The Padisah's Youngest Daughter and Her Donkey-Skull Husband,,,,,,,,,,,,,,,,,,,,,,,,
en,Platero,,,,,,,,,,,,,,,,,,,,,,,,
en,Puzzle (Narnia),,,,,,,,,,,,,,,,,,,,,,,,
en,The Small One (book),,,,,,,,,,,,,,,,,,,,,,,,
en,Sylvester and the Magic Pebble,,,,,,,,,,,,,,,,,,,,,,,,
en,Talking donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Town Musicians of Bremen,,,,,,,,,,,,,,,,,,,,,,,,
en,Los Trotamúsicos,,,,,,,,,,,,,,,,,,,,,,,,
en,Trotro,,,,,,,,,,,,,,,,,,,,,,,,
en,Wise Donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,"The Wishing-Table, the Gold-Ass, and the Cudgel in the Sack",,,,,,,,,,,,,,,,,,,,,,,,
en,The Wonky Donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Army Mules,,,,,,,,,,,,,,,,,,,,,,,,
en,The Ass and his Masters,,,,,,,,,,,,,,,,,,,,,,,,
en,The Ass and the Pig,,,,,,,,,,,,,,,,,,,,,,,,
en,The Ass in the Lion's Skin,,,,,,,,,,,,,,,,,,,,,,,,
en,Baba Looey,,,,,,,,,,,,,,,,,,,,,,,,
en,Benjamin (Animal Farm),,,,,,,,,,,,,,,,,,,,,,,,
en,Nick Bottom,,,,,,,,,,,,,,,,,,,,,,,,
en,Candlewick (character),,,,,,,,,,,,,,,,,,,,,,,,
en,The Donkey (fairy tale),,,,,,,,,,,,,,,,,,,,,,,,
en,Donkey (Shrek),,,,,,,,,,,,,,,,,,,,,,,,
en,Donkey Cabbages,,,,,,,,,,,,,,,,,,,,,,,,
en,Donkey Hodie,,,,,,,,,,,,,,,,,,,,,,,,
en,Donkey Hodie (TV series),,,,,,,,,,,,,,,,,,,,,,,,
en,The Donkey's Head,,,,,,,,,,,,,,,,,,,,,,,,
en,The Donkey's Head (Turkish folktale),,,,,,,,,,,,,,,,,,,,,,,,
